Term Code,Term Description,Full/Part Term Description,Course CRN,Course Subject,Course Number,Course Sequence Number,Building Name,Room Number,Course Start Time,Course End Time,Course Start Date,Course End Date,Sunday Indicator,Monday Indicator,Tuesday Indicator,Wednesday Indicator,Thursday Indicator,Friday Indicator,Saturday Indicator,Course Maximum Enrollment,Course Enrollment
201920,Spring 2019,Full Term,23659,AC,292,2,KELLER,122,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23660,AC,292,3,KELLER,122,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23661,AC,390,1,KELLER,320,800,915,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23664,AC,392,1,KELLER,322,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23665,AC,395,1,KELLER,327,1800,2045,9-Jan-19,8-May-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,23665,AC,395,1,RABURN,211,1930,2045,9-Jan-19,8-May-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,23666,AC,471,1,KELLER,320,930,1045,9-Jan-19,8-May-19,,,T,,R,,,36,0
201920,Spring 2019,Full Term,23667,AC,472,1,KELLER,322,930,1045,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23668,AC,473,1,KELLER,220,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,23670,AC,481,1,RABURN,104,800,915,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23891,CS,135,3,RABURN,206,800,915,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23892,CS,135,4,RABURN,206,1400,1515,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,23894,CS,135,1,RABURN,206,900,950,9-Jan-19,8-May-19,,M,,W,,F,,30,0
201920,Spring 2019,Full Term,23987,MG,395,1,RABURN,104,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,55,0
201920,Spring 2019,Full Term,24033,CIS,289,1,KELLER,234,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,24,0
201920,Spring 2019,Full Term,24092,CS,155,2,RABURN,206,1230,1345,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,24202,AC,291,1,KELLER,333,900,950,9-Jan-19,8-May-19,,M,,W,,F,,40,0
201920,Spring 2019,Full Term,24299,MK,465,1,RABURN,109,1100,1150,9-Jan-19,8-May-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,24312,MG,234,1,KELLER,120,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,17,0
201920,Spring 2019,Full Term,24326,EC,252,1,RABURN,104,900,950,9-Jan-19,8-May-19,,M,,W,,F,,60,0
201920,Spring 2019,Full Term,24328,QM,291,3,RABURN,109,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,24514,CS,430,1,RABURN,206,1000,1050,9-Jan-19,8-May-19,,M,,W,,F,,30,0
201920,Spring 2019,Full Term,24515,CS,249,1,RABURN,110,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,15,0
201920,Spring 2019,Full Term,24517,CIS,476,1,RABURN,210,1500,1745,9-Jan-19,8-May-19,,M,,,,,,24,0
201920,Spring 2019,Full Term,24518,CIS,344,1,RABURN,210,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,24,0
201920,Spring 2019,Full Term,24519,CIS,249,1,RABURN,110,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,15,0
201920,Spring 2019,Full Term,24567,MG,474,1,KELLER,120,1500,1615,9-Jan-19,8-May-19,,M,,W,,,,15,0
201920,Spring 2019,Full Term,24568,MG,640,1,KELLER,122,1500,1700,9-Jan-19,8-May-19,,,,W,,,,22,0
201920,Spring 2019,Full Term,24657,FI,493,1,RABURN,110,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,20,0
201920,Spring 2019,Full Term,24659,FI,593,1,RABURN,110,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,20,0
201920,Spring 2019,Full Term,24661,PHL,250,1,RABURN,110,900,950,9-Jan-19,8-May-19,,M,,W,,F,,40,0
201920,Spring 2019,Full Term,24814,QM,292,4,RABURN,104,1530,1645,9-Jan-19,8-May-19,,,T,,R,,,60,0
201920,Spring 2019,Full Term,24824,CS,135,2,RABURN,206,1330,1445,9-Jan-19,8-May-19,,M,,W,,,,30,0
201920,Spring 2019,Full Term,24844,HI,201,4,KELLER,222,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,24847,HI,201,6,KELLER,222,930,1045,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,24857,HI,390,1,RABURN,109,1000,1050,9-Jan-19,8-May-19,,M,,W,,F,,25,0
201920,Spring 2019,Full Term,24867,PHL,250,2,RABURN,110,1100,1150,9-Jan-19,8-May-19,,M,,W,,F,,40,0
201920,Spring 2019,Full Term,24868,PHL,250,3,RABURN,109,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,40,0
201920,Spring 2019,Full Term,25111,AC,697,1,KELLER,320,1800,2045,9-Jan-19,8-May-19,,,T,,,,,25,0
201920,Spring 2019,Full Term,25115,CS,355,1,RABURN,206,930,1045,9-Jan-19,8-May-19,,,T,,R,,,30,0
201920,Spring 2019,Full Term,25116,CIS,430,1,RABURN,210,930,1045,9-Jan-19,8-May-19,,,T,,R,,,21,0
201920,Spring 2019,Full Term,25120,CIS,651,1,RABURN,210,930,1045,9-Jan-19,8-May-19,,,T,,R,,,3,0
201920,Spring 2019,Full Term,25121,AC,694,1,KELLER,320,1800,2045,9-Jan-19,8-May-19,,,,W,,,,25,0
201920,Spring 2019,Second Half Term,25217,EMB,612,1,KELLER,122,1000,1200,4-Mar-19,8-May-19,,,,W,,,,30,0
201920,Spring 2019,Full Term,25242,AC,650,1,KELLER,320,1800,2045,9-Jan-19,8-May-19,,,,,R,,,25,0
201920,Spring 2019,First Half Term,25248,AC,642,1,KELLER,320,1300,1500,9-Jan-19,1-Mar-19,,,T,,,,,30,0
201920,Spring 2019,First Half Term,25249,FI,632,1,KELLER,327,1200,1400,9-Jan-19,1-Mar-19,,M,,,,,,30,0
201920,Spring 2019,Full Term,25333,MG,274,1,KELLER,120,1200,1315,9-Jan-19,8-May-19,,M,,W,,,,10,0
201920,Spring 2019,Full Term,25337,CIS,366,2,RABURN,211,1100,1215,9-Jan-19,8-May-19,,,T,,R,,,17,0
